id,city_name,city_state
294,Leesburg,FL
295,Champaign,IL
296,Hollywood,FL
297,Pasadena,TX
298,Pomona,CA
299,Escondido,CA
300,Joliet,IL
301,Lake Charles,LA
302,Mesquite,TX
303,Mauldin,SC
304,Panama City,FL
305,Bellevue,WA
306,Naperville,IL
307,Harlingen,TX
308,Tuscaloosa,AL
309,Elkhart,IN
310,Torrance,CA
311,Binghamton,NY
312,Houma,LA
313,Topeka,KS
314,Roseville,CA
315,Fairfield,CA
316,Tyler,TX
317,Fullerton,CA
318,Pueblo,CO
319,Athens,GA
320,Santa Maria,CA
321,Surprise,AZ
322,Charleston,WV
323,Las Cruces,NM
324,Metairie,LA
325,Thornton,CO
326,Olathe,KS
327,Carolina,PR
328,Gainesville,GA
329,West Valley City,UT
330,Orange,CA
331,Warren,MI
332,Pasadena,CA
333,Beaumont,TX
334,Burlington,NC
335,Hampton,VA
336,Columbia,MO
337,Yuma,AZ
338,Elizabeth,NJ
339,Racine,WI
340,Greeley,CO
341,Kent,WA
342,Stamford,CT
343,Odessa,TX
344,Bloomington,IL
345,Miramar,FL
346,Grand Junction,CO
347,Sterling Heights,MI
348,Coral Springs,FL
349,Johnson City,TN
350,Carrollton,TX
351,Midland,TX
352,Yakima,WA
353,Bellingham,WA
354,Yuba City,CA
355,South Lyon,MI
356,Santa Clara,CA
357,St. George,UT
358,Fort Smith,AR
359,Simi Valley,CA
360,Dover,DE
361,Norman,OK
362,Abilene,TX
363,Billings,MT
364,Ponce,PR
365,Lehigh Acres,FL
366,St. Cloud,MN
367,Arecibo,PR
368,Kenosha,WI
369,Greenville,NC
370,Arvada,CO
371,Pearland,TX
372,Independence,MO
373,Texas City,TX
374,Redding,CA
375,Lynchburg,VA
376,Boulder,CO
377,Iowa City,IA
378,Rochester,MN
379,Berkeley,CA
380,Waldorf,MD
381,The Villages,FL
382,Duluth,MN
383,East Los Angeles,CA
384,Saginaw,MI
385,Clovis,CA
386,Leominster,MA
387,Round Rock,TX
388,Monroe,LA
389,Cambridge,MA
390,Clearwater,FL
391,Seaside,CA
392,West Jordan,UT
393,Richardson,TX
394,West Palm Beach,FL
395,Temple,TX
396,Burlington,VT
397,Richmond,CA
398,Westminster,CO
399,Pottstown,PA
400,Brandon,FL
401,Rock Hill,SC
402,Meridian,ID
403,Coeur d'Alene,ID
404,Carlsbad,CA
405,Lowell,MA
406,Waterloo,IA
407,North Charleston,SC
408,Gilroy,CA
409,Downey,CA
410,Gresham,OR
411,Elgin,IL
412,Utica,NY
413,Broken Arrow,OK
414,Costa Mesa,CA
415,Chico,CA
416,Sioux City,IA
417,League City,TX
418,Miami Gardens,FL
419,Pompano Beach,FL
420,San Buenaventura,CA
